id|tipo|citacao|id|nome|isbn_issn|quantidade|uso
1|livro|Cotrim, Ademaro A.M.B., 1939-. Instalações elétricas. 5ed. São Paulo. Pearson Pretice Hall. 2009. 08-10784. CDD 621.3192.  UFT00067178|135|Eletricidade aplicada e Instrumentação Ambiental|978-85-7605-208-1|10|basica
2|livro|dasdasd asd|104|Administração e Empreendedorismo|11|1|basica
3|livro|Economia Ambiental - Gestão de custos e investimentos, 2011. Editora Del Rey.|125|Economia Ambiental|9788538401773|20|basica
4|livro|Manual para Valoração de Recursos Naturais, Ronaldo Seroa da Mota, 1997|125|Economia Ambiental|Não tem|0|basica
5|livro|Sano, S.M.; Almeida, S.P.; Ribeiro, J.F. (eds). Cerrado, Ecologia e Flora. Editora, Volume 1. Embrapa, Brasília, DF. 406p. 2008.|96|Caracterização Ambiental I|978-85-7383-397-3|10|basica
6|livro|Ricklefs, R.E. A Economia da Natureza. Editora Guanabara Koogan, Rio de Janeiro, RJ, sétima edição. 503p. 2016|96|Caracterização Ambiental I|9788527729628|10|basica
7|livro|Cullen Jr., L.; Rudran, R.; Valladares-Pádua, C. (orgs). Métodos de Estudos em Biologia da Conservação e Manejo da Vida Silvestre. Editora UFPR, segunda edição revisada. 652p. 2006.|96|Caracterização Ambiental I|978-8573351743|5|basica
8|livro|Odum, E.P. Fundamentos em Ecologia. Fundação  Calouste Gulbenkian. Lisboa, Portugal, sétima edição. 928p. 2004.|96|Caracterização Ambiental I|9789723101584|5|basica
9|livro|Cain, M.; Bowman, W.D.; Hacker, S.D. Ecologia. Artmed Editora. Porto Alegre, RS. 644p. 2011.|96|Caracterização Ambiental I|9788536325477|5|basica
10|livro|Townsend, C.R.; Begon, M. Harper, J.L. Fundamentos em Ecologia. Artmed Editora. Porto Alegre, RS. 576p. 2010|96|Caracterização Ambiental I|9788536320649|2|complementar
11|livro|Harper, J.L. Ecologia: De indivíduos a Ecossistemas. Editora Saraiva. Quarta Edição. 740p. 2007.|96|Caracterização Ambiental I|9788536308845|2|complementar
12|livro|Santos, R.F. Planejamento Ambiental: teoria e prática. São Paulo:Oficina de Textos. 184 p. 2004.|96|Caracterização Ambiental I|978-85-86238-62-8|1|complementar
14|livro|Townsend, C.R.; Begon, M. Harper, J.L. Fundamentos em Ecologia. Artmed Editora. Porto Alegre, RS. 576p. 2010.|80|Ecologia|9788536320649|10|basica
15|livro|Ricklefs, R.E. A Economia da Natureza. Editora Guanabara Koogan, Rio de Janeiro, RJ, sétima edição. 503p. 2016|80|Ecologia|9788527729628|5|basica
16|livro|Cullen Jr., L.; Rudran, R.; Valladares-Pádua, C. (orgs). Métodos de Estudos em Biologia da Conservação e Manejo da Vida Silvestre. Editora UFPR, segunda edição revisada. 652p. 2006.|80|Ecologia|978-8573351743|10|basica
17|livro|Cain, M.; Bowman, W.D.; Hacker, S.D. Ecologia. Artmed Editora. Porto Alegre, RS. 644p. 2011.|80|Ecologia|9788536325477|5|basica
18|livro|Harper, J.L. Ecologia: De indivíduos a Ecossistemas. Editora Saraiva. Quarta Edição. 740p. 2007.|80|Ecologia|9788536308845|5|basica
19|livro|Gotelli, N.J.; Ellison, A.M. Princípios de Estatística em Ecologia. Artmed Editora. Porto Alegre, RS. 532p. 2010.|80|Ecologia|9788536324326|3|complementar
20|livro|Odum, E.P. Fundamentos em Ecologia. Fundação  Calouste Gulbenkian. Lisboa, Portugal, sétima edição. 928p. 2004.|80|Ecologia|9789723101584|1|complementar
21|livro|Santos, R.F. Planejamento Ambiental: teoria e prática. São Paulo:Oficina de Textos. 184 p. 2004.|80|Ecologia|978-85-86238-62-8|1|complementar
